#truth 3
#ecwakeup 27
#aurkarobooklaunch 1
#live 5
#shockedga 3
#delhik 1
#sabkosaafkardiya 3
#locketchatterjee 1
#underestimation 1
#sadhvi 1
#revoltuionarywin 1
#bjpsweep 2
#ravishndtv 1
#fear 1
#loksatta 1
#antihero 2
#factly 3
#evms 2
#omarabdullah 1
#mintelections 75
#arsenal 3
#bussbhaiitnitohjeetjao 26
#nooffence 1
#stayaway 1
#delhidec 31
#delhidecid 35
#delhideciedes 1
#delhir 4
#thefirerises 1
#tweetsnow 19
#temper 1
#aapspycamse 8
#yeah 2
#ravishankarprasad 1
#dilliwalokidilli 1
#save 2
#dogiveyouropinion 1
#epic 1
#delhiknockoutround 4
#dothumbthing 1
#world 12
#bjpelectionjumla 2
#pspk 1
#broomstrong 1
#banter 1
#ownshow 1
#politicaldrama 1
#swachhdelhi 1
#anarchistaap 346
#jantamaafnahikaregi 2
#maharally 1
#bsbassi 11
#delhielections2 203
#delhielections1 2
#anarchist 11
#abkibarbedisarkar 27
#bjpdelhi 1
#swatchbharatabhiyan 1
#aapwins 8
#holdmymuffler 1
#cmofdelhi 1
#jallikattu 2
#jumlapolitics 1
#aapsweepsdelhi 20
#aapkipasand 1
#healh 1
#hindusamrajyadivas 2
#votebjpdelhi 1
#aaplies 10
#tweetoftheday 1
#lastchance4 1
#delhiresult 2
#singledigitnamo 3
#suckitamitshah 1
#oth 1
#suryaray 12
#postdelhiresults 1
#electiondelhi 1
#kironbedi 1
#welldone 1
#chukkuvellam 1
#sexi 6
#kejriwave 2
#attacks 2
#bigfatdelhielection 1
#sorrytosaythat 1
#peopleofdelhi 3
#aapfu 3
#processions 1
#omnamahshivaya 1
#kiski 2
#newzstreettv 2
#aapsurveyscam 12
#aapswaraj 1
#akhileshagain 1
#arvindkejariwal 1
#cleanindia 5
#aapswee 11
#cabi 1
#saheb 6
#swatchbharath 7
#clean 4
#delhiass 10
#kiransblueprint 4
#bjpblackmone 1
#indiandemocracy 4
#sugarcane 1
#aapsweap 3
#stayneutral 1
#mundka 1
#pmo 1
#thankdelhi 1
#onlyhumor 1
#newstraders 1
#kejriwalonnewsx 1
#jihadididi 8
#bloodydecks 1
#nepal 3
#anarchy 5
#february 1
#transperency 1
#shameful 1
#split 1
#eksi 1
#aapkiantakshari 5
#spokepersons 1
#homework 1
#bazaaru 5
#fakingit 1
#dday 1
#aapchor 1
#mitochondria 1
#fightforthecapital 1
#lokasabha 1
#aapkiaandhi 17
#irunbedi 3
#isupportvhp 1
#assam 3
#nomoreshit 1
#fekuflops 1
#income 1
#newaaptard 1
#bazarulog 1
#eyeopening 2
#jitbebjp 6
#arewefools 1
#mediapimps 3
#kejriwal 658
#whydidchickencrosstheroad 1
#lotmoreexpected 1
#fullmajority 2
#kudosaapvolunt 1
#suicides 1
#aapzindabad 1
#pappucantdancesalla 1
#delhitrafficwoes 1
#bharatmataki 3
#anna 1
#mumbaikiawaaz 1
#haaretohbedi 1
#shameonaap 2
#introspectio 1
#arivindkajriwal 1
#lifeisabojh 8
#boston 4
#aapeans 1
#conspiracytheory 6
#abv 1
#nov 11
#joke 3
#legend 2
#ndtvnews 1
#respectforourkhaasaamadmi 1
#dmk 2
#genderbreakup 1
#allthebest 2
#desperately 1
#delhippl 1
#noteven7 1
#blackmarket 1
#deadheat 4
#eventhoughitspartlyruined 1
#lselections 2
#bjpwillwin 1
#satyavachan 2
#support 1
#mufflerrat 20
#crowdfund 1
#fundyafraud 2
#rout 1
#aaprules 1
#anarchygrandcentral 1
#abkibarbedisarkaar 1
#sirfaap 236
#resurgentcongress 19
#jkgovt 1
#selfish 1
#thebiggestblooper 2
#dhodalna 1
#unionmin 2
#macroeconomics 1
#rangdebasanti 1
#nitishvsmanjhi 4
#nation 3
#aapmaharashtra 1
#tughlakabad 1
#aaptimes 1
#congresskidelhi 2
#ptihaters 9
#ls 3
#backinaction 1
#broomstorm 3
#aapwithbjp 1
